Date,State,Total,Category,Sales
2022-07-21,Connecticut,93838251.32857144,,93838251.32857144
2022-07-22,Connecticut,93874639.48571429,,93874639.48571429
2022-07-23,Connecticut,93911027.64285715,,93911027.64285715
2022-07-24,Connecticut,93947415.8,Beverages,93947415.8
2022-07-25,Connecticut,93991019.77142857,,93991019.77142857
2022-07-26,Connecticut,94034623.74285714,,94034623.74285714
2022-07-27,Connecticut,94078227.71428572,,94078227.71428572
2022-07-28,Connecticut,94121831.68571427,,94121831.68571427
2022-07-29,Connecticut,94165435.65714285,,94165435.65714285
2022-07-30,Connecticut,94209039.62857142,,94209039.62857142
2022-07-31,Connecticut,94252643.6,Beverages,94252643.6
2022-08-01,Connecticut,92924879.47999999,,92924879.47999999
2022-08-02,Connecticut,91597115.36,,91597115.36
2022-08-03,Connecticut,90269351.24,,90269351.24
2022-08-04,Connecticut,88941587.12,,88941587.12
2022-08-05,Connecticut,87613823.0,Beverages,87613823.0
2022-08-06,Connecticut,88238789.15555556,,88238789.15555556
2022-08-07,Connecticut,88863755.31111111,,88863755.31111111
2022-08-08,Connecticut,89488721.46666667,,89488721.46666667
2022-08-09,Connecticut,90113687.62222223,,90113687.62222223
2022-08-10,Connecticut,90738653.77777778,,90738653.77777778
2022-08-11,Connecticut,91363619.93333334,,91363619.93333334
2022-08-12,Connecticut,91988586.0888889,,91988586.0888889
2022-08-13,Connecticut,92613552.24444444,,92613552.24444444
2022-08-14,Connecticut,93238518.4,Beverages,93238518.4
2022-08-15,Connecticut,93447464.25714286,,93447464.25714286
2022-08-16,Connecticut,93656410.11428572,,93656410.11428572
2022-08-17,Connecticut,93865355.97142857,,93865355.97142857
2022-08-18,Connecticut,94074301.82857144,,94074301.82857144
2022-08-19,Connecticut,94283247.68571429,,94283247.68571429
2022-08-20,Connecticut,94492193.54285716,,94492193.54285716
2022-08-21,Connecticut,94701139.4,Beverages,94701139.4
2022-08-22,Connecticut,94535541.44285715,,94535541.44285715
2022-08-23,Connecticut,94369943.48571429,,94369943.48571429
2022-08-24,Connecticut,94204345.52857143,,94204345.52857143
2022-08-25,Connecticut,94038747.57142858,,94038747.57142858
2022-08-26,Connecticut,93873149.61428572,,93873149.61428572
2022-08-27,Connecticut,93707551.65714286,,93707551.65714286
2022-08-28,Connecticut,93541953.7,Beverages,93541953.7
2022-08-29,Connecticut,90152042.625,,90152042.625
2022-08-30,Connecticut,86762131.55,,86762131.55
2022-08-31,Connecticut,83372220.475,,83372220.475
2022-09-01,Connecticut,79982309.39999999,Beverages,79982309.39999999
2022-09-02,Connecticut,80880072.51111111,,80880072.51111111
2022-09-03,Connecticut,81777835.62222221,,81777835.62222221
2022-09-04,Connecticut,82675598.73333333,,82675598.73333333
2022-09-05,Connecticut,83573361.84444444,,83573361.84444444
2022-09-06,Connecticut,84471124.95555556,,84471124.95555556
2022-09-07,Connecticut,85368888.06666666,,85368888.06666666
2022-09-08,Connecticut,86266651.17777778,,86266651.17777778
2022-09-09,Connecticut,87164414.28888889,,87164414.28888889
2022-09-10,Connecticut,88062177.4,Beverages,88062177.4
2022-09-11,Connecticut,87864742.2625,,87864742.2625
2022-09-12,Connecticut,87667307.125,,87667307.125
2022-09-13,Connecticut,87469871.98750001,,87469871.98750001
2022-09-14,Connecticut,87272436.85000001,,87272436.85000001
2022-09-15,Connecticut,87075001.7125,,87075001.7125
2022-09-16,Connecticut,86877566.57500002,,86877566.57500002
2022-09-17,Connecticut,86680131.43750001,,86680131.43750001
2022-09-18,Connecticut,86482696.30000001,Beverages,86482696.30000001
2022-09-19,Connecticut,86645957.07142858,,86645957.07142858
2022-09-20,Connecticut,86809217.84285715,,86809217.84285715
2022-09-21,Connecticut,86972478.61428572,,86972478.61428572
2022-09-22,Connecticut,87135739.3857143,,87135739.3857143
2022-09-23,Connecticut,87299000.15714288,,87299000.15714288
2022-09-24,Connecticut,87462260.92857145,,87462260.92857145
2022-09-25,Connecticut,87625521.70000002,Beverages,87625521.70000002
2022-09-26,Connecticut,87310304.21111113,,87310304.21111113
2022-09-27,Connecticut,86995086.72222224,,86995086.72222224
2022-09-28,Connecticut,86679869.23333335,,86679869.23333335
2022-09-29,Connecticut,86364651.74444446,,86364651.74444446
2022-09-30,Connecticut,86049434.25555556,,86049434.25555556
2022-10-01,Connecticut,85734216.76666667,,85734216.76666667
2022-10-02,Connecticut,85418999.27777778,,85418999.27777778
2022-10-03,Connecticut,85103781.78888889,,85103781.78888889
2022-10-04,Connecticut,84788564.3,Beverages,84788564.3
2022-10-05,Connecticut,87980413.7,,87980413.7
2022-10-06,Connecticut,91172263.1,,91172263.1
2022-10-07,Connecticut,94364112.5,Beverages,94364112.5
2022-10-08,Connecticut,93167906.26666667,,93167906.26666667
2022-10-09,Connecticut,91971700.03333333,,91971700.03333333
2022-10-10,Connecticut,90775493.8,,90775493.8
2022-10-11,Connecticut,89579287.56666666,,89579287.56666666
2022-10-12,Connecticut,88383081.33333333,,88383081.33333333
2022-10-13,Connecticut,87186875.1,,87186875.1
2022-10-14,Connecticut,85990668.86666666,,85990668.86666666
2022-10-15,Connecticut,84794462.63333333,,84794462.63333333
2022-10-16,Connecticut,83598256.39999999,Beverages,83598256.39999999
2022-10-17,Connecticut,83776778.22857141,,83776778.22857141
2022-10-18,Connecticut,83955300.05714285,,83955300.05714285
2022-10-19,Connecticut,84133821.88571428,,84133821.88571428
2022-10-20,Connecticut,84312343.7142857,,84312343.7142857
2022-10-21,Connecticut,84490865.54285713,,84490865.54285713
2022-10-22,Connecticut,84669387.37142856,,84669387.37142856
