Date,day_of_week,month,quarter,week_of_year,year,lag_1,lag_7,lag_30,rolling_mean_7,rolling_mean_30,rolling_std_7,is_holiday,Forecasted_Sales
2023-12-24,6,12,4,51,2023,20510613.7,20556329.78988764,20731574.8011236,20733291.046388444,20661877.25385768,538908.7524494265,0,2.0579816e+07
2023-12-25,0,12,4,52,2023,20510613.7,20556329.78988764,20731574.8011236,20733291.046388444,20661877.25385768,538908.7524494265,0,2.0363526e+07
2023-12-26,1,12,4,52,2023,20510613.7,20556329.78988764,20731574.8011236,20733291.046388444,20661877.25385768,538908.7524494265,0,2.0091582e+07
2023-12-27,2,12,4,52,2023,20510613.7,20556329.78988764,20731574.8011236,20733291.046388444,20661877.25385768,538908.7524494265,0,2.0270674e+07
2023-12-28,3,12,4,52,2023,20510613.7,20556329.78988764,20731574.8011236,20733291.046388444,20661877.25385768,538908.7524494265,0,1.972438e+07
2023-12-29,4,12,4,52,2023,20510613.7,20556329.78988764,20731574.8011236,20733291.046388444,20661877.25385768,538908.7524494265,0,2.0407026e+07
2023-12-30,5,12,4,52,2023,20510613.7,20556329.78988764,20731574.8011236,20733291.046388444,20661877.25385768,538908.7524494265,0,2.0407026e+07
2023-12-31,6,12,4,52,2023,20510613.7,20556329.78988764,20731574.8011236,20733291.046388444,20661877.25385768,538908.7524494265,0,2.044285e+07
2024-01-01,0,1,1,1,2024,20510613.7,20556329.78988764,20731574.8011236,20733291.046388444,20661877.25385768,538908.7524494265,0,1.9174152e+07
2024-01-02,1,1,1,1,2024,20510613.7,20556329.78988764,20731574.8011236,20733291.046388444,20661877.25385768,538908.7524494265,0,1.9423008e+07
2024-01-03,2,1,1,1,2024,20510613.7,20556329.78988764,20731574.8011236,20733291.046388444,20661877.25385768,538908.7524494265,0,2.1965574e+07
2024-01-04,3,1,1,1,2024,20510613.7,20556329.78988764,20731574.8011236,20733291.046388444,20661877.25385768,538908.7524494265,0,2.108367e+07
2024-01-05,4,1,1,1,2024,20510613.7,20556329.78988764,20731574.8011236,20733291.046388444,20661877.25385768,538908.7524494265,0,2.0753976e+07
2024-01-06,5,1,1,1,2024,20510613.7,20556329.78988764,20731574.8011236,20733291.046388444,20661877.25385768,538908.7524494265,0,2.073224e+07
2024-01-07,6,1,1,1,2024,20510613.7,20556329.78988764,20731574.8011236,20733291.046388444,20661877.25385768,538908.7524494265,0,2.018322e+07
2024-01-08,0,1,1,2,2024,20510613.7,20556329.78988764,20731574.8011236,20733291.046388444,20661877.25385768,538908.7524494265,0,1.9174152e+07
2024-01-09,1,1,1,2,2024,20510613.7,20556329.78988764,20731574.8011236,20733291.046388444,20661877.25385768,538908.7524494265,0,1.9423008e+07
2024-01-10,2,1,1,2,2024,20510613.7,20556329.78988764,20731574.8011236,20733291.046388444,20661877.25385768,538908.7524494265,0,2.1965574e+07
2024-01-11,3,1,1,2,2024,20510613.7,20556329.78988764,20731574.8011236,20733291.046388444,20661877.25385768,538908.7524494265,0,2.108367e+07
2024-01-12,4,1,1,2,2024,20510613.7,20556329.78988764,20731574.8011236,20733291.046388444,20661877.25385768,538908.7524494265,0,2.0753976e+07
2024-01-13,5,1,1,2,2024,20510613.7,20556329.78988764,20731574.8011236,20733291.046388444,20661877.25385768,538908.7524494265,0,2.073224e+07
2024-01-14,6,1,1,2,2024,20510613.7,20556329.78988764,20731574.8011236,20733291.046388444,20661877.25385768,538908.7524494265,0,2.018322e+07
2024-01-15,0,1,1,3,2024,20510613.7,20556329.78988764,20731574.8011236,20733291.046388444,20661877.25385768,538908.7524494265,0,1.9174152e+07
2024-01-16,1,1,1,3,2024,20510613.7,20556329.78988764,20731574.8011236,20733291.046388444,20661877.25385768,538908.7524494265,0,1.9423008e+07
2024-01-17,2,1,1,3,2024,20510613.7,20556329.78988764,20731574.8011236,20733291.046388444,20661877.25385768,538908.7524494265,0,2.1965574e+07
2024-01-18,3,1,1,3,2024,20510613.7,20556329.78988764,20731574.8011236,20733291.046388444,20661877.25385768,538908.7524494265,0,2.108367e+07
2024-01-19,4,1,1,3,2024,20510613.7,20556329.78988764,20731574.8011236,20733291.046388444,20661877.25385768,538908.7524494265,0,2.0753976e+07
2024-01-20,5,1,1,3,2024,20510613.7,20556329.78988764,20731574.8011236,20733291.046388444,20661877.25385768,538908.7524494265,0,2.073224e+07
2024-01-21,6,1,1,3,2024,20510613.7,20556329.78988764,20731574.8011236,20733291.046388444,20661877.25385768,538908.7524494265,0,2.018322e+07
2024-01-22,0,1,1,4,2024,20510613.7,20556329.78988764,20731574.8011236,20733291.046388444,20661877.25385768,538908.7524494265,0,1.9174152e+07
2024-01-23,1,1,1,4,2024,20510613.7,20556329.78988764,20731574.8011236,20733291.046388444,20661877.25385768,538908.7524494265,0,1.9423008e+07
2024-01-24,2,1,1,4,2024,20510613.7,20556329.78988764,20731574.8011236,20733291.046388444,20661877.25385768,538908.7524494265,0,2.1965574e+07
2024-01-25,3,1,1,4,2024,20510613.7,20556329.78988764,20731574.8011236,20733291.046388444,20661877.25385768,538908.7524494265,0,2.108367e+07
2024-01-26,4,1,1,4,2024,20510613.7,20556329.78988764,20731574.8011236,20733291.046388444,20661877.25385768,538908.7524494265,0,2.0753976e+07
2024-01-27,5,1,1,4,2024,20510613.7,20556329.78988764,20731574.8011236,20733291.046388444,20661877.25385768,538908.7524494265,0,2.073224e+07
2024-01-28,6,1,1,4,2024,20510613.7,20556329.78988764,20731574.8011236,20733291.046388444,20661877.25385768,538908.7524494265,0,2.018322e+07
